YEAR,MONTH,flight_date,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,cancelled,diverted,distance,is_delayed_15
2025.0,1.0,2025-01-01,716.0,MSO,AZA,-11.0,-12.0,0,0,948.0,0
2025.0,1.0,2025-01-01,1527.0,SFB,FNT,-4.0,-14.0,0,0,988.0,0
2025.0,1.0,2025-01-01,3172.0,FNT,SFB,440.0,428.0,0,0,988.0,1
2025.0,1.0,2025-01-01,2262.0,AZA,FAR,4.0,-2.0,0,0,1220.0,0
2025.0,1.0,2025-01-01,2263.0,FAR,AZA,-2.0,-10.0,0,0,1220.0,0
2025.0,1.0,2025-01-01,2286.0,AZA,PIA,-7.0,-24.0,0,0,1312.0,0
2025.0,1.0,2025-01-01,717.0,PIA,AZA,-13.0,-14.0,0,0,1312.0,0
2025.0,1.0,2025-01-01,1048.0,USA,PIE,59.0,55.0,0,0,528.0,1
2025.0,1.0,2025-01-01,2616.0,PIE,USA,62.0,50.0,0,0,528.0,1
2025.0,1.0,2025-01-01,2653.0,PIE,LEX,59.0,49.0,0,0,707.0,1
2025.0,1.0,2025-01-01,2667.0,LEX,PIE,41.0,32.0,0,0,707.0,1
2025.0,1.0,2025-01-01,1279.0,SBN,SFB,-9.0,3.0,0,0,936.0,0
2025.0,1.0,2025-01-01,1280.0,SFB,SBN,-4.0,-9.0,0,0,936.0,0
2025.0,1.0,2025-01-01,1994.0,SRQ,CVG,-8.0,-19.0,0,0,812.0,0
2025.0,1.0,2025-01-01,386.0,CVG,PIE,-4.0,7.0,0,0,776.0,0
2025.0,1.0,2025-01-01,388.0,CVG,SRQ,-7.0,-11.0,0,0,812.0,0
2025.0,1.0,2025-01-01,407.0,PIE,CVG,13.0,8.0,0,0,776.0,0
2025.0,1.0,2025-01-01,1229.0,SFB,XNA,-6.0,-9.0,0,0,920.0,0
2025.0,1.0,2025-01-01,1302.0,XNA,SFB,1.0,6.0,0,0,920.0,0
2025.0,1.0,2025-01-01,2938.0,ELM,SFB,1.0,-4.0,0,0,954.0,0
2025.0,1.0,2025-01-01,2956.0,SFB,ELM,4.0,-3.0,0,0,954.0,0
2025.0,1.0,2025-01-01,647.0,CID,AZA,-28.0,-37.0,0,0,1240.0,0
2025.0,1.0,2025-01-01,656.0,AZA,CID,-10.0,-26.0,0,0,1240.0,0
2025.0,1.0,2025-01-01,681.0,MOT,AZA,-9.0,-30.0,0,0,1164.0,0
2025.0,1.0,2025-01-01,691.0,AZA,MOT,-8.0,-17.0,0,0,1164.0,0
2025.0,1.0,2025-01-01,909.0,FWA,PGD,69.0,61.0,0,0,986.0,1
2025.0,1.0,2025-01-01,944.0,PGD,FWA,55.0,44.0,0,0,986.0,1
2025.0,1.0,2025-01-01,1589.0,SNA,BOI,-1.0,-7.0,0,0,688.0,0
2025.0,1.0,2025-01-01,1594.0,SNA,PVU,15.0,26.0,0,0,565.0,1
2025.0,1.0,2025-01-01,1601.0,PVU,SNA,8.0,-10.0,0,0,565.0,0
2025.0,1.0,2025-01-01,1603.0,BOI,SNA,-4.0,9.0,0,0,688.0,0
2025.0,1.0,2025-01-01,1135.0,PIT,PBI,-9.0,-26.0,0,0,952.0,0
2025.0,1.0,2025-01-01,2736.0,PBI,PIT,-11.0,-26.0,0,0,952.0,0
2025.0,1.0,2025-01-01,599.0,PGD,IND,44.0,38.0,0,0,916.0,1
2025.0,1.0,2025-01-01,607.0,IND,PGD,-7.0,16.0,0,0,916.0,1
2025.0,1.0,2025-01-01,2203.0,PIE,GRR,14.0,12.0,0,0,1044.0,0
2025.0,1.0,2025-01-01,552.0,GRR,PIE,-4.0,9.0,0,0,1044.0,0
2025.0,1.0,2025-01-01,577.0,PIE,GRR,54.0,46.0,0,0,1044.0,1
2025.0,1.0,2025-01-01,581.0,GRR,PIE,14.0,49.0,0,0,1044.0,1
2025.0,1.0,2025-01-01,168.0,ABE,SFB,-9.0,-20.0,0,0,882.0,0
2025.0,1.0,2025-01-01,171.0,SFB,ABE,-18.0,-27.0,0,0,882.0,0
2025.0,1.0,2025-01-01,2176.0,GRR,SFB,-7.0,23.0,0,0,1001.0,1
2025.0,1.0,2025-01-01,536.0,GRR,AZA,-4.0,0.0,0,0,1561.0,0
2025.0,1.0,2025-01-01,559.0,SFB,GRR,25.0,23.0,0,0,1001.0,1
2025.0,1.0,2025-01-01,564.0,AZA,GRR,3.0,-2.0,0,0,1561.0,0
2025.0,1.0,2025-01-01,448.0,DSM,AZA,-1.0,-6.0,0,0,1138.0,0
2025.0,1.0,2025-01-01,459.0,AZA,DSM,7.0,-2.0,0,0,1138.0,0
2025.0,1.0,2025-01-01,977.0,PIE,BGR,-7.0,-28.0,0,0,1394.0,0
2025.0,1.0,2025-01-01,988.0,BGR,PIE,-10.0,-8.0,0,0,1394.0,0
2025.0,1.0,2025-01-01,1580.0,ATW,SFB,-19.0,-12.0,0,0,1141.0,0
2025.0,1.0,2025-01-01,3205.0,SFB,ATW,-9.0,-18.0,0,0,1141.0,0
2025.0,1.0,2025-01-01,1991.0,SFB,CVG,-4.0,-8.0,0,0,735.0,0
2025.0,1.0,2025-01-01,391.0,FLL,CVG,-14.0,-18.0,0,0,932.0,0
2025.0,1.0,2025-01-01,411.0,CVG,FLL,-3.0,-21.0,0,0,932.0,0
2025.0,1.0,2025-01-01,412.0,CVG,SFB,0.0,-6.0,0,0,735.0,0
2025.0,1.0,2025-01-01,2321.0,AZA,RFD,-7.0,14.0,0,0,1373.0,0
2025.0,1.0,2025-01-01,699.0,RAP,AZA,76.0,76.0,0,0,873.0,1
2025.0,1.0,2025-01-01,724.0,AZA,RAP,93.0,85.0,0,0,873.0,1
2025.0,1.0,2025-01-01,741.0,RFD,AZA,17.0,25.0,0,0,1373.0,1
2025.0,1.0,2025-01-01,843.0,PGD,CID,280.0,311.0,0,0,1170.0,1
2025.0,1.0,2025-01-01,856.0,CID,PGD,297.0,317.0,0,0,1170.0,1
2025.0,1.0,2025-01-01,2301.0,FSD,AZA,-7.0,-2.0,0,0,1072.0,0
2025.0,1.0,2025-01-01,682.0,AZA,PSC,-4.0,-6.0,0,0,977.0,0
2025.0,1.0,2025-01-01,698.0,AZA,FSD,-3.0,-17.0,0,0,1072.0,0
